"Cendejas, Mark",West,D,1,MARK D. CENDEJAS,DC3 USN,USS MASON DDG 87,
"Batty, Quinese",West,D,1,QUINESE N. BATTY,PS2  ,USS MASON DDG 87,
"Roche, Marco",West,D,1,MARCO V. ROCHE,LTJG USN,USS MASON DDG 87,
"Adedoyin, Sikiru",West,D,2,SIKIRU A. ADEDOYIN,LSSN USN,USS MASON DDG 87,
"Ahr, Christopher",West,D,2,CHRISTOPHER A. AHR,SPECIAL AGENT NCIS,USS MASON DDG 87,
"Aponte, Jonathan",West,D,2,JONATHAN D. APONTE,YNI (SW) USN,USS MASON DDG 87,
"Batono, Jovy",West,D,2,JOVY A. BATONG,FC2 SW USN,USS MASON DDG 87,
"Breitwieser, Ronald",West,D,2,RONALD K. BREITWIESER,PS2 ISW/AWI ,USS MASON DDG 87,
"Correll, Andrew",West,D,3,ANDREW D. CORRELL,STG3,USS MASON DDG 87,
"Fleming, Charmain",West,D,3,CHARMAIN M. FLEMING,IC3 USN,USS MASON DDG 87,
"Gilbert, Derrick",West,D,3,DERRICK M. GILBERT,ET3 USN,USS MASON DDG 87,
"Higgins, Sean",West,D,3,SEAN R. HIGGINS,FC3 USN,USS MASON DDG 87,
"Robinson, Karyn",West,D,3,KARYN M. ROBINSON,CTR2 USN,USS MASON DDG 87,
"Pendergast, AnnMarie",West,D,3,ANNMARIE PENDERGAST,FC2 USN,USS MASON DDG 87,
"Sherrod, Dominque",West,D,4,DOMINIQUE M. SHERROD,LS2 USN,USS MASON DDG 87,
"Smith, Yusuf",West,D,4,YUSUF K. SMITH,ET2 USN,USS MASON DDG 87,
"Thomas, Daniel",West,D,4,DANIEL J. THOMAS,CSMN USN,USS MASON DDG 87,
"Whitaker, Omar",West,D,4,OMAR S. WHITAKER,ET2 (SW) USN,USS MASON DDG 87,
"Wright, Nich",West,D,4,NICH WRIGHT,DC2 USN,USS MASON DDG 87,
"Dinh, Cuong",West,D,5,CUONG V. DINH,LS3 USN,USS MASON DDG 87,
"Ross, Romona",West,D,5,ROMONA ROSS,CSM3 USN,USS MASON DDG 87,
"Cendejas, Mark",West,D,5,MARK D. CENDEJAS,DC3 USN,USS MASON DDG 87,
